startRun:1
27	1	13:18:00
31	1	NULL
20	1	13:18:40
27	1	13:18:49
5	1	13:18:56
NULL	NULL	13:19:08
12	1	13:19:24
11	1	13:19:30
7	1	13:19:49
10	1	13:19:50
4	1	13:20:00
1	1	NULL
NULL	NULL	12:20:05
26	1	13:20:40
29	1	13:21:30
NULL	NULL	13:21:33
23	1	13:23:34
4	1	13:24:18
16	1	13:24:24
22	1	NULL
23	1	13:24:38
29	1	13:24:44
28	1	13:24:52
29	1	13:25:10
22	1	13:25:16
16	1	13:25:20
8	1	13:25:26
4	1	13:25:30
1	1	13:25:32
13	1	13:25:39
16	1	13:25:44
22	1	13:25:52
20	1	13:25:56
24	1	13:25:59
26	1	13:26:05
27	1	13:26:06
9	1	13:27:13
17	1	NULL
19	1	13:27:20
4	1	13:27:29
1	1	13:27:31
15	1	13:28:00
24	1	13:28:06
21	1	13:28:10
20	1	13:28:15
19	1	13:28:18
14	1	13:28:23
8	1	13:28:31
9	1	13:28:39
8	1	13:28:47
7	1	13:28:50
6	1	13:28:56
5	1	13:29:00
2	1	13:29:08
3	1	13:29:12
12	1	13:29:16
17	1	13:29:23
20	1	13:29:25
19	1	13:29:28
16	1	13:29:31
13	1	13:29:37
16	1	13:29:38
10	1	13:29:41
4	1	13:29:44
1	1	13:29:46
6	1	13:29:50
2	1	13:29:53
3	1	13:29:56
3	1	13:29:59
17	1	13:30:13
20	1	13:30:15
23	1	13:30:17
26	1	13:30:21
28	1	13:30:27
20	1	13:30:31
25	1	13:30:36
19	1	13:30:40
20	1	13:30:47
8	1	13:30:54
11	1	13:30:58
14	1	13:30:59
15	1	13:31:04
11	1	13:31:07
5	1	13:31:10
1	1	13:31:14
4	1	13:31:18
7	1	13:31:28
10	1	13:31:31
13	1	13:31:34
29	1	13:31:38
28	1	13:31:41
24	1	13:31:44
12	1	13:31:53
5	1	14:30:02
17	1	14:33:54
NULL	NULL	14:34:07
NULL	NULL	14:34:11
20	1	14:34:14
23	1	14:34:23
22	1	14:34:33
26	1	14:34:42
25	1	14:34:57
24	1	14:35:06
NULL	NULL	14:35:21
20	1	14:35:26
27	1	14:35:31
26	1	14:35:34
19	1	14:35:44
20	1	14:35:51
7	NULL	NULL
1	1	14:35:56
NULL	NULL	14:36:00
22	1	14:36:56
1	1	14:37:08
4	1	14:37:23
10	1	14:37:30
3	1	14:37:36
NULL	NULL	14:37:44
21	1	14:38:04
20	1	14:38:12
12	1	14:38:27
NULL	NULL	14:38:33
21	1	14:38:37
28	1	14:38:44
26	1	14:38:57
13	1	14:56:55
10	1	14:57:00
1	1	14:57:02
NULL	NULL	14:57:08
9	1	14:57:36
3	1	14:58:02
28	1	14:58:34
28	1	15:01:27
29	1	15:01:33
NULL	NULL	15:01:40
22	1	15:04:33
NULL	NULL	15:04:39
14	1	15:04:45
17	1	15:04:58
11	1	15:05:05
NULL	NULL	15:05:10
27	1	15:05:46
NULL	NULL	15:05:52
9	1	15:06:10
11	1	15:06:16
10	1	15:06:20
7	1	15:06:25
4	1	15:06:29
1	1	15:06:31
6	1	15:06:34
9	1	15:06:38
NULL	NULL	15:06:42
22	1	15:08:40
NULL	NULL	15:08:47
23	1	15:56:40
1	1	15:56:31
2	1	15:56:42
7	1	15:56:51
26	1	15:57:38
25	1	15:57:46
29	1	15:57:55
27	1	15:58:02
24	1	15:58:18
23	1	15:58:30
21	1	15:58:35
