'Plant'	'Type'	'Array'	'# Healthy Seeds'	'Aborted'	'Ovules'	'Additional Comments'	'Predicted Plant #'
75	'W'	17	9	0	26		
'1?1'	'W'	20	16	8	8		101
'1?1'	'W'	25	16	10	3		101
'1?1'	'W'	25	12	3	12		101
'1?1'	'W'	33	15	5	15		101
'1?1'	'W'	25	7	2	19		101
79	'T'	14	25	2	0		
79	'T'	17	19	4	1		
79	'T'	17	28	4	0		
79	'T'	17	22	2	8		
'86 (?)'	'W'	20	31	3	1		86
'86 (?)'	'W'	34	13	12	10		86
'86 (?)'	'W'	34	22	5	5		86
'86 (?)'	'W'	28	34	3	0		86
'86 (?)'	'W'	28	26	5	2		86
'86 (?)'	'W'	28	33	1	4		86
'86 (?)'	'W'	28	32	2	5		86
'86 (?)'	'W'	28	28	7	0		86
'86 (?)'	'W'	32	16	10	2		86
'86 (?)'	'W'	32	18	8	7		86
'4 (?)'	'W'	10	19	15	4		48
'4 (?)'	'W'	10	18	13	1		48
'4 (?)'	'W'	10	15	13	4		48
'4 (?)'	'W'	10	21	13	0		48
'4 (?)'	'W'	10	16	14	0		48
'4 (?)'	'W'	38	0	0	'?'	'Seed pod too small to find seeds/ovules'	48
'4 (?)'	'W'	38	0	29	'?'	'Seed pod too small to find seeds/ovules'	48
'4 (?)'	'W'	38	0	28	0		48
'4 (?)'	'W'	25	24	11	4		48
'4 (?)'	'W'	25	7	3	22		48
'4 (?)'	'W'	25	12	3	18		48
81	'T'	17	18	13	1		
81	'T'	17	29	4	1		
81	'T'	17	27	7	0		
63	'W'	24	22	2	3		
63	'W'	25	32	1	2		
63	'W'	25	27	7	8		
63	'W'	25	25	5	8		
63	'W'	25	10	2	26		
63	'W'	28	25	2	8		
63	'W'	28	23	2	7		
63	'W'	35	21	6	4		
63	'W'	35	20	4	7		
63	'W'	17	28	4	4		
63	'W'	17	29	3	1		
94	'W'	25	21	0	13		
94	'W'	25	12	2	12		
94	'W'	25	28	3	4		
94	'W'	28	29	5	4		
94	'W'	28	27	3	2		
94	'W'	28	29	1	2		
94	'W'	28	25	8	2		
94	'W'	36	17	10	4		
94	'W'	36	25	2	4		
94	'W'	36	20	7	2		
94	'W'	33	7	4	15		
94	'W'	33	18	9	3		
94	'W'	33	34	3	3		
94	'W'	39	0	29	0		
63	'W'	39	0	24	4		
63	'W'	39	0	27	1		
63	'W'	39	0	19	2		
63	'W'	39	0	20	4		
63	'W'	12	21	5	1		
63	'W'	12	25	5	2		
63	'W'	12	27	4	1		
63	'W'	12	22	3	1		
63	'W'	12	23	4	1		
46	'W'	10	22	2	3		
46	'W'	10	21	4	5		
46	'W'	10	24	7	2		
46	'W'	10	21	6	3		
46	'W'	16	26	3	1		
46	'W'	16	28	4	0		
46	'W'	17	27	8	4		
46	'W'	17	16	11	10		
46	'W'	17	26	4	6		
46	'W'	37	10	4	7		
63	'W'	16	26	3	2		
63	'W'	16	24	3	2		
63	'W'	16	22	4	0		
63	'W'	16	26	7	1		
46	'W'	34	20	1	10		
46	'W'	34	22	3	8		
46	'W'	34	20	2	7		
46	'W'	34	21	2	2		
53	'W'	21	14	2	19		
53	'W'	21					
53	'W'	21	16	3	17		
42	'T'	16	12	18	2		
42	'T'	16	17	13	0		
42	'T'	16	18	13	0		
42	'T'	16	8	20	1		
42	'T'	16	13	14	1		
46	'T'	30	11	18	4		
46	'T'	30	17	14	4		
46	'T'	30	11	17	6		
'50 (?)'	'W'	28	4				59
'50 (?)'	'W'	28	1	0	28		59
'50 (?)'	'W'	28	27	5	1		59
'50 (?)'	'W'	28	23	10	2		59
'50 (?)'	'W'	28	10	7	14		59
46	'W'	36	27	4	6		
46	'W'	36	10	7	11		
46	'W'	36	9	17	5		
'10 (?)'	'W'	32	27	4	1		103
'40 (?)'	'W'	9	19	7	2		'40-45'
'40 (?)'	'W'	9	25	3	1		'40-45'
'40 (?)'	'W'	9	22	4	3		'40-45'
80	'W'	28	10	1	26		
80	'W'	28	28	2	8		
80	'W'	28	30	3	5		
80	'W'	28	28	3	4		
80	'W'	28	16	2	15		
80	'W'	25	22	8	7		
80	'W'	25	31	6	3		
80	'W'	25	21	3	11		
80	'W'	34	24	8	3		
